segment_id,protocol,tile_type,num_tiles,total_size_mb,avg_size_kb,avg_speed_mbps,min_speed_mbps,max_speed_mbps,dns_ms,tcp_connect_ms,tls_handshake_ms,ttfb_ms,transfer_ms,total_ms,parallel_total_ms,jitter_ms,conn_reused,conn_reuse_pct
1,HTTP/3,viewport,16,1.68,107.33,2.17,1.18,4.4,0.02,2.75,18.3,2.65,27.87,52.84,845.42,18.54,0,0
1,HTTP/3,non-viewport,32,0.46,14.63,0.45,0.09,0.87,0.02,2.63,16.77,2.78,8.82,32.22,1030.91,13.2,0,0
2,HTTP/3,viewport,12,0.75,64.23,1.21,0.54,3.11,0.03,3.03,22.49,3.26,28.61,58.87,706.44,15.94,0,0
2,HTTP/3,non-viewport,36,0.48,13.56,0.48,0.15,0.86,0.02,2.43,14.52,2.36,7.08,27.49,989.6,6.49,0,0
3,HTTP/3,viewport,12,0.65,55.49,1.32,0.51,2.15,0.02,2.68,16.55,2.64,20.91,43.96,527.57,10.03,0,0
3,HTTP/3,non-viewport,36,0.44,12.54,0.47,0.18,0.79,0.01,2.36,13.92,2.15,6.43,25.95,934.25,5.76,0,0
4,HTTP/3,viewport,12,0.39,33.29,0.76,0.46,1.51,0.02,2.79,18.9,2.6,19.35,44.99,539.91,12.64,0,0
4,HTTP/3,non-viewport,36,0.41,11.75,0.44,0.17,0.75,0.02,2.4,14.26,2.37,5.95,26.09,939.36,5.93,0,0
5,HTTP/3,viewport,12,0.63,54.05,0.84,0.35,1.96,0.04,3.96,28.89,4.68,31.75,70.88,850.56,21.52,0,0
5,HTTP/3,non-viewport,36,0.37,10.52,0.41,0.19,0.78,0.02,2.48,14.58,2.29,4.74,25.22,908.03,6.3,0,0
6,HTTP/3,viewport,12,0.61,52.13,1.13,0.57,1.89,0.02,2.63,17.64,2.76,22.19,46.56,558.71,9.38,0,0
6,HTTP/3,non-viewport,36,0.35,9.93,0.4,0.13,0.65,0.02,2.52,15.11,2.21,4.01,25.03,901.22,7.24,0,0
7,HTTP/3,viewport,12,0.9,77.05,1.25,0.69,2.29,0.03,3.14,24.29,4.05,31.54,64.49,773.88,20.97,0,0
7,HTTP/3,non-viewport,36,0.33,9.42,0.35,0.13,0.61,0.02,2.56,16.23,2.65,4.03,26.72,962.1,6.35,0,0
8,HTTP/3,viewport,12,0.95,80.68,1.32,0.73,2.63,0.03,3.14,24.58,4.01,31.38,64.64,775.74,24.28,0,0
8,HTTP/3,non-viewport,36,0.33,9.52,0.37,0.1,0.6,0.02,2.45,15.6,2.52,3.98,25.76,927.51,5.98,0,0
9,HTTP/3,viewport,12,0.53,45.2,1.15,0.47,1.71,0.02,2.42,15.18,2.25,17.75,38.8,465.66,5.6,0,0
9,HTTP/3,non-viewport,36,0.33,9.26,0.35,0.13,0.52,0.02,2.52,16.12,2.49,4.15,26.55,955.97,5.95,0,0
10,HTTP/3,viewport,12,0.9,76.83,1.24,0.64,2.64,0.03,3.1,25.4,3.65,33.26,66.94,803.23,24.06,0,0
10,HTTP/3,non-viewport,36,0.34,9.73,0.36,0.17,0.6,0.02,2.5,15.96,2.68,4.27,26.66,959.92,5.43,0,0
